"id","repo_id","committer","message","comment_count","verification"
"58","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#2447 Clean db-level objects more carefully","0","0"
"59","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Hide the Oracle driver from the community pom (fixes Travis)","0","0"
"60","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","web-flow","Merge pull request #2710 from nickeeromo/master

Allow setting flyway.url=<valid-url> at the top of flyway.conf.","0","1"
"61","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","nickeeromo","Allow setting flyway.url=<valid-url> at the top of flyway.conf.","0","0"
"62","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2684 Redshift handle cleaning procedures aswell as functions","0","0"
"63","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2700 Add a flyway:timestamp default placeholder","0","0"
"64","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Add a warning that invalid locations will become an error in flyway 7","0","0"
"65","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix the path to the documentation in the exception message","0","0"
"66","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2693 MySQL support TEMPORARY TABLE in CREATE...IF NOT EXISTS and DROP...IF EXISTS","0","0"
"67","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2689 Allow comments and newlines within package definition","0","0"
"68","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Setting license key with community edition is now a warning, not an exception","0","0"
"69","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #1780 Add api method to load configuration files from the default locations","0","0"
"70","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix workingDirectory bug","0","0"
"71","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Remove unnecessary slashes in jdbc example","0","0"
"72","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Add missing variable declarations

This stopped it building ;(","0","0"
"73","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2022: Add workingDirectory to remaining clients","0","0"
"74","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2177: Repeatable Migration not executed after changing Placeholder Value","0","0"
"75","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2555: Allow multiple lines in the flyway.conf file for configuration values","0","0"
"76","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2605: Flyway not able to create flyway_schema_history in Sybase ASE","0","0"
"77","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2682: Print flyway version in json

Replacing productVersion","0","0"
"78","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","#2676 Fix MySQL parsing failure for function versions of IF and REPEAT","0","0"
"79","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2681 Fix null ref when running info -json","0","0"
"80","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2679 Support SQL Server Integrated Security","0","0"
"81","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#2674 #2679 Password-less auth options","0","0"
"82","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#2677 Parsers need to be able to relate specific special characters to types of statement (eg SPOOL)","0","0"
"83","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2675 Handle CREATE IF NOT EXISTS in MYSQL","0","0"
"84","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Remove stars that indicate the oracle driver needs to be downloaded","0","0"
"85","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2673 DB2 parse failure when a statement begins with 'BEGIN'","0","0"
"86","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2642 Ship oracle drivers","0","0"
"87","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2669 Oracle package missing semicolon","0","0"
"88","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2666 Support control flow keywords in MySQL.","0","0"
"89","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fix #2650 MariaDb version string","0","0"
"90","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fix #2665 (Cockroach syntax)","0","0"
"91","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#2663 Add retrying pattern for CockroachDB","0","0"
"92","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","web-flow","Merge pull request #2656 from dohrayme/#2655-MariaDB-startup-log-errors

#2655 MariaDB jdbc logged errors on started, no such performance_sche…","0","1"
"93","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","web-flow","Merge pull request #2654 from dohrayme/#2653-MySQL_MariaDB-system-versioned

#2653 MariaDB MySQL clean versioned tables","0","1"
"94","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#2645 Move Snowflake support on to 4.2","0","0"
"95","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","dohrayme","#2655 MariaDB jdbc logged errors on started, no such performance_schema.global_variables","0","0"
"96","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","dohrayme","#2653 MariaDB MySQL clean versioned tables","0","0"
"97","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2638 Disable load balancing for pgpool-II","0","0"
"98","MDEwOlJlcG9zaXRvcnk3MTcwMDU4",,"Handle when a database driver returns a null state or message.","0","0"
"99","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","SQLServerDatabase understands some version-specific features","0","0"
"100","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fix #2612 Oracle package body initialisation can have BEGIN without matching END","0","0"
"101","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Temporal tables only exist in SQL 2016+","0","0"
"102","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Prevent GPG passphrase prompt on Windows","0","1"
"103","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Update documentation to reflect defaultSchema behaviour","0","1"
"104","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Add environment variable for defaultSchema (#2637)","0","0"
"105","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Use column name","0","0"
"106","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","web-flow","Merge pull request #2635 from romash1408/2634-deadlock-pgsql-12

Fix #2634 deadlock in Postgresql 12","0","1"
"107","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","romash1408","Fix #2634 Column indexes are 1-based","0","0"
"108","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","romash1408","Fix #2634 deadlock in Postgresql 12","0","0"
"109","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2590, Fix #2621: Add color CLI option","0","1"
"110","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Update comment to match regex for MariaDB version","0","1"
"111","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #1328: Create all non-existent schemas in config","0","1"
"112","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2624: Error parsing CASE...END in SAP HANA","0","1"
"113","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","web-flow","Merge pull request #2627 from NicholasFechner/2826-support-maria-db-enterprise

#2626 Support for MariaDB enterprise version numbering","0","1"
"114","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fix #2620 Empty-string descriptions","0","0"
"115","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2186 Validate migration names","0","0"
"116","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","NicholasFechner","#2626 Support for MariaDB enterprise version numbering","0","0"
"117","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Replace leftover occurrences of Boxfuse with Redgate","0","1"
"118","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Add JDK13 tests to Travis","0","0"
"119","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Bump version number","0","0"
"120","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2611 Identify non-indented Java comments in PL/SQL","0","0"
"121","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Updated copyright","0","0"
"122","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2613: Script injection with placeholders","0","1"
"123","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","More dependencies","0","0"
"124","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Another dependency","0","0"
"125","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#2608 Report on all unknown config parameters together","0","0"
"126","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fix #2609 Oracle parser with Q'[ ... ]' string literal","0","0"
"127","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Some dependency updates","0","0"
"128","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Update Informix driver","0","1"
"129","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Update dependency","0","1"
