repo_id,name,owner,forks_url,description,language,forks_count,stargazers_count,watchers_count,size,open_issues_count,has_wiki,pushed_at,created_at,updated_at,subscribers_count,license,html_url
MDEwOlJlcG9zaXRvcnkyMDM3MDI3OTY=,Operating-Systems,JoeyCheung,https://api.github.com/repos/JoeyCheung/Operating-Systems/forks,Projects for my CS340 operating systems class,Java,0,0,0,932,0,1,12/18/2019 19:12,8/22/2019 2:53,12/20/2019 2:27,2,null,https://github.com/JoeyCheung/Operating-Systems
MDEwOlJlcG9zaXRvcnkyMDQ4MjQ2MDc=,operating-systems-java,FawadJawaid,https://api.github.com/repos/FawadJawaid/operating-systems-java/forks,"This is one of the most difficult projects, I have worked on. This project is divided into three phases; in the first phase, I was supposed to make VM Architecture. In the second one, Process and Memory Management. And in the third one, I was supposed to make a Graphical User Interface (GUI) in Java for the whole project. The requirements file for three phases is uploaded in the PDF format.",Java,0,0,0,224,0,1,8/28/2019 3:12,8/28/2019 1:47,8/28/2019 3:14,2,null,https://github.com/FawadJawaid/operating-systems-java
MDEwOlJlcG9zaXRvcnkyMjc5ODUwODk=,Demand-Paging_Virtual_Memory_Simulator,shyam-patel-kira,https://api.github.com/repos/shyam-patel-kira/Demand-Paging_Virtual_Memory_Simulator/forks,Simulation For demand Paging,Java,0,0,0,15,0,1,12/15/2019 12:37,12/14/2019 7:42,12/15/2019 12:37,2,null,https://github.com/shyam-patel-kira/Demand-Paging_Virtual_Memory_Simulator
MDEwOlJlcG9zaXRvcnkyMjEzMzc0NTM=,rm-sim,ereeq,https://api.github.com/repos/ereeq/rm-sim/forks,Rate-Monotonic Scheduler simulation,Java,0,0,0,157,0,1,12/4/2019 8:13,11/13/2019 0:18,12/4/2019 8:19,1,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/ereeq/rm-sim
MDEwOlJlcG9zaXRvcnkyMjI2NDEwNTA=,TRLUtils-Platform,TheRandomLabs,https://api.github.com/repos/TheRandomLabs/TRLUtils-Platform/forks,A collection of utilities for accessing and manipulating platform information.,Java,0,0,0,87,0,1,1/5/2020 8:28,11/19/2019 8:00,1/5/2020 8:28,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/TheRandomLabs/TRLUtils-Platform
MDEwOlJlcG9zaXRvcnkyMjk1ODU0NDY=,Operating-System,minji-o-j,https://api.github.com/repos/minji-o-j/Operating-System/forks,[Fall Semester 2019]  Operating System,Java,1,0,0,32,0,1,3/18/2020 13:11,12/22/2019 15:03,5/23/2020 16:18,2,"{""key"": ""apache-2.0"", ""name"": ""Apache License 2.0"", ""spdx_id"": ""Apache-2.0"", ""url"": ""https://api.github.com/licenses/apache-2.0"", ""node_id"": ""MDc6TGljZW5zZTI=""}",https://github.com/minji-o-j/Operating-System
MDEwOlJlcG9zaXRvcnkyMTU4Mjg0NjM=,NOTES-CDAC,himanshupraveengoyal,https://api.github.com/repos/himanshupraveengoyal/NOTES-CDAC/forks,CDAC DAC MODULE,Java,0,0,0,14994,0,1,12/17/2019 18:15,10/17/2019 15:40,12/17/2019 18:15,2,null,https://github.com/himanshupraveengoyal/NOTES-CDAC
MDEwOlJlcG9zaXRvcnkyMzAyMjAxODI=,Barber-Shop,masoudd2159,https://api.github.com/repos/masoudd2159/Barber-Shop/forks,Fair Barber Shop in Java ,Java,0,1,1,5,0,1,12/26/2019 8:12,12/26/2019 7:50,12/26/2019 8:12,1,null,https://github.com/masoudd2159/Barber-Shop
MDEwOlJlcG9zaXRvcnkyMzE5NzM1MDM=,preemptive-priority-scheduling,islajd,https://api.github.com/repos/islajd/preemptive-priority-scheduling/forks,Preemptive Priority Scheduling algorithm in Java,Java,0,1,1,24,0,1,3/19/2020 16:51,1/5/2020 20:43,4/14/2020 20:26,1,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/islajd/preemptive-priority-scheduling
MDEwOlJlcG9zaXRvcnkyMzUyNzQ4NjU=,knowledge,LuoJhno,https://api.github.com/repos/LuoJhno/knowledge/forks,技术总结,Java,0,2,2,4981,0,1,6/10/2020 7:58,1/21/2020 6:53,6/10/2020 7:58,1,null,https://github.com/LuoJhno/knowledge
